NAME,DESCRIPTION,ADDRESSPOSTALCODE,ADDRESSSTREETNAME,Lat,Lng,ICON_NAME
AGAPE LITTLE UNI @ CENTRAL PTE. LTD.,Child Care Services,573969,"22, SIN MING LANE, #01 - 71/73, MIDVIEW CITY, SINGAPORE 573969",1.35855746945122,103.83355823726,onemap-fc-childcare.png
AGAPE LITTLE UNI. @ CECIL PTE. LTD.,Child Care Services,069533,"101, CECIL STREET, #01 - 01, TONG ENG BUILDING, SINGAPORE 069533",1.28096622303394,103.849392505327,onemap-fc-childcare.png
AGAPE LITTLE UNI. @ CLEMENTI PTE. LTD.,Child Care Services,120453,"453, CLEMENTI AVENUE 3, #01 - 01, CLEMENTI AREA OFFICE, SINGAPORE 120453",1.3119210578462,103.766016894009,onemap-fc-childcare.png
AGAPE LITTLE UNI. @ COMPASSVALE PTE. LTD.,Child Care Services,542293,"293B, COMPASSVALE CRESCENT, #01 - 53, COMPASSVALE BOARDWALK, SINGAPORE 542293",1.3969919328876,103.895995260704,onemap-fc-childcare.png
AGAPE LITTLE UNI. @ GAMBAS PTE LTD,Child Care Services,757044,"2, GAMBAS CRESCENT, #01 - 15-17, NORDCOM TWO, SINGAPORE 757044",1.44318523217238,103.815768797809,onemap-fc-childcare.png
AGAPE LITTLE UNI. @ UPPER SERANGOON PTE LTD,Child Care Services,538473,"473D, UPPER SERANGOON CRESCENT, #01 - 353, HOUGANG PARKEDGE, SINGAPORE 538473",1.37667209926501,103.901954750753,onemap-fc-childcare.png
AGAPE LITTLE UNI. PTE. LTD.,Child Care Services,149598,"401, Commonwealth Drive, #02 - 01, Haw Par Technocentre, SINGAPORE 149598",1.30305550574024,103.796483206653,onemap-fc-childcare.png
ALORA CHILDCARE (LENG KEE) PTE LTD,Child Care Services,159049,"400, LENGKOK BAHRU, LENG KEE COMMUNITY CENTRE, SINGAPORE 159049",1.28978711891653,103.81444834816,onemap-fc-childcare.png
ALPHABET PLAYHOUSE @ EAST COAST PTE LTD,Child Care Services,466497,"440A, UPPER EAST COAST ROAD, SINGAPORE 466497",1.31412069803199,103.940617044163,onemap-fc-childcare.png
ALPHABET PLAYHOUSE CHILD CARE AND LEARNING CENTRE PTE LTD,Child Care Services,239803,"14/16, DUBLIN ROAD, SINGAPORE 239803",1.29814890514776,103.83938134735,onemap-fc-childcare.png
AMAR KIDZ @ CHOA CHU KANG PTE. LTD.,Child Care Services,680617,"617, CHOA CHU KANG NORTH 7, #01 - 437, SINGAPORE 680617",1.40047051549756,103.746343473316,onemap-fc-childcare.png
AMAR KIDZ @ HOUGANG CENTRAL PTE. LTD.,Child Care Services,530406,"406, HOUGANG AVENUE 10, #01 - 1124, SINGAPORE 530406",1.37363948373234,103.896187669303,onemap-fc-childcare.png
