NAME,DESCRIPTION,BLK_HOUSE,STR_NAME,UNIT_NO,POSTCODE,Lat,Lng,ICON_NAME
NTUC FAIRPRICE CO-OPERATIVE LTD,E02035N000,212,BEDOK NORTH STREET 1,147,460212,1.32594069682932,103.931640028654,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,E02039E000,152B,SERANGOON NORTH AVENUE 1,384,552152,1.36979940182639,103.873035798474,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,E02096K000,6,MARINE PARADE CENTRAL,NA,449411,1.30141955705642,103.907112664975,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,E83157K000,934,EAST COAST ROAD,NA,459125,1.31230752821693,103.92523453825,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,E95315V000,77,CIRCUIT ROAD,464/6,370077,1.32855656927862,103.885349909653,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,E98161V000,239/255,EAST COAST ROAD,NA,428932,1.30836165161607,103.907988815995,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,J02013A000,221,BOON LAY PLACE,200,640221,1.34634819293844,103.712429317152,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,J96145K000,21,CHOA CHU KANG AVENUE 4,3,689812,1.38506836300634,103.744950388654,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,NE04047K000,138,TAMPINES STREET 11,136,521138,1.34528144162057,103.945344294717,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,NE04107V000,168,PUNGGOL FIELD,1,820168,1.394184094795,103.912976438987,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,NE04114A000,866A,TAMPINES STREET 83,1,521866,1.3554217626792,103.934315234757,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,NE08058P000,1,PASIR RIS CLOSE,127,519599,1.37714073427956,103.953599087705,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,NE08150C000,BLK 277C,COMPASSVALE LINK,13,543277,1.38233698021703,103.893607840929,supermarketlogo.jpg
COLD STORAGE SINGAPORE (1983) PTE LTD,NE09027A000,10,TAMPINES CENTRAL 1,1/2,529536,1.35431556438279,103.94501945797,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,NE09263B000,100,HOUGANG AVENUE 10,1,538767,1.37177995742086,103.894165384101,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,NE10310X000,1,MAJU AVENUE,11/14,556679,1.36516070959148,103.865041855148,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,NE12B79A000,612,PUNGGOL DRIVE,6,820612,1.40461002768949,103.908665607626,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,NE15467C000,476,UPPER SERANGOON VIEW,18,530476,1.3774300635181,103.903712868236,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,NE16640E000,51,TAMPINES AVENUE 4,1,528523,1.35349616014431,103.939683594446,supermarketlogo.jpg
U STARS SUPERMARKET PTE. LTD.,NE17390X000,878C,TAMPINES AVENUE 8,65,523878,1.3512641069979,103.929363838846,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,NE17563L000,872C,TAMPINES STREET 86,1,523872,1.35524289885319,103.931623638518,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,NE18169P000,681,PUNGGOL DRIVE,1,820681,1.40287845138627,103.913195747038,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,NW04127A000,900,SOUTH WOODLANDS DRIVE,1,730900,1.43507789397689,103.78661961568,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,NW06546V000,511,CANBERRA ROAD,3,750511,1.45384518800838,103.819543348008,supermarketlogo.jpg
