school_name,address,postal_code,sap_ind,gifted_ind,Lat,Lng
OASIS PRIMARY SCHOOL,71   Edgefield Plains,828716,No,No,1.40462413200793,103.911120600638
OPERA ESTATE PRIMARY SCHOOL,48   FIDELIO STREET,458436,No,No,1.31996876377748,103.923752668632
PALM VIEW PRIMARY SCHOOL,150  Compassvale Bow,544822,No,No,1.38376923022123,103.891354675017
PARK VIEW PRIMARY SCHOOL,60   PASIR RIS DRIVE 1,519524,No,No,1.37801687647812,103.9392021807
PASIR RIS PRIMARY SCHOOL,5    PASIR RIS STREET 21,518968,No,No,1.37245132722087,103.962922699031
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),298  LORONG AH SOO,536741,No,No,1.3502545600894,103.884846876112
PEI CHUN PUBLIC SCHOOL,16   LORONG 7 TOA PAYOH,319320,Yes,No,1.33677864390672,103.855341310212
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,7    PEI WAH AVENUE,597610,Yes,No,1.33807302121151,103.776250903095
PEI TONG PRIMARY SCHOOL,15   CLEMENTI AVENUE 5,129857,No,No,1.31666529308968,103.767438999533
PEIYING PRIMARY SCHOOL,651  YISHUN RING ROAD,768687,No,No,1.41741627551251,103.830143209875
PIONEER PRIMARY SCHOOL,23   JURONG WEST STREET 81,649076,No,No,1.34883617453427,103.695003812477
POI CHING SCHOOL,21   TAMPINES STREET 71,529067,Yes,No,1.35765121877679,103.935246486174
PRINCESS ELIZABETH PRIMARY SCHOOL,30   BUKIT BATOK WEST AVENUE 3,659163,No,No,1.34942618948433,103.740307576571
PUNGGOL COVE PRIMARY SCHOOL,52   Sumang Walk,828674,No,No,1.41158455562454,103.89890448429
PUNGGOL GREEN PRIMARY SCHOOL,98   Punggol Walk,828772,No,No,1.40172590450528,103.898794262307
PUNGGOL PRIMARY SCHOOL,61   HOUGANG AVENUE 8,538787,No,No,1.37820062547641,103.894667159512
PUNGGOL VIEW PRIMARY SCHOOL,9    Punggol Place,828845,No,No,1.4057889942173,103.905191018271
QIFA PRIMARY SCHOOL,50   WEST COAST AVENUE,128104,No,No,1.3132658326807,103.756629101811
