NAME,DESCRIPTION,ADDRESSPOSTALCODE,ADDRESSSTREETNAME,Lat,Lng,ICON_NAME
PCF Sparkletots Preschool @ Nee Soon East Blk 671 (DS),Kindergartens,760671,671 Yishun Avenue 4  #01-01 S(760671),1.41919116256839,103.841581273115,school.gif
Mosaic Kindergarten,Kindergartens,589472,896 Dunearn Road Sime Darby Centre #01-01B S(589472),1.33667572858831,103.783709155893,school.gif
MRC Kindergarten (Yishun South),Kindergartens,760848,848 Yishun Street 81  #01-150 S(760848),1.41624344397915,103.835248986247,school.gif
Muhammadiyah Kindergarten,Kindergartens,419006,66 Jalan Lapang   S(419006),1.32303429054426,103.915442440453,school.gif
Mujahidin Mosque Kindergarten,Kindergartens,148952,590 Stirling Road   S(148952),1.29814970833183,103.800866440185,school.gif
MY FIRST SKOOL (DS),Kindergartens,730742,"742, WOODLANDS CIRCLE, #01 - 443, SINGAPORE 730742",1.44392118162242,103.79603161214,school.gif
My Montessori Preschool @ Bullion,Kindergartens,789100,172 Lentor Loop Bullion Park #02-01 S(789100),1.39159864463172,103.836623070687,school.gif
My Prep School,Kindergartens,448910,9 Siglap Road Mandarin Gardens Condominium  S(448910),1.3073862538938,103.925259997195,school.gif
My Prep School (Montessori) Pte Ltd,Kindergartens,467624,73 Lucky Heights Lucky Court S( 467624 ),1.31834306626229,103.941364023845,school.gif
"NAFA Arts Preschool",Kindergartens,429064,511 East Coast Road   S(429064),1.30976053359834,103.913935302828,school.gif
Nanyang Children School,Kindergartens,102078,78B Telok Blangah Street 32  #02-17 S(102078),1.27362997937477,103.808254905625,school.gif
Nanyang Kindergarten,Kindergartens,268155,118 King's Road   S(268155),1.31805747108794,103.805567260134,school.gif
Nanyang Kindergarten,Kindergartens,269460,51 Coronation Road   S(269460),1.32111548488685,103.806468060985,school.gif
New Life Kindergarten,Kindergartens,739147,10 Marsiling Lane   S(739147),1.44503089438486,103.777376784519,school.gif
Newton Kindergarten,Kindergartens,307995,16 Newton Road   S(307995),1.3141001527103,103.840838759034,school.gif
P & J Kindergarten,Kindergartens,574141,"35 Windsor Park Road, Windsor Park   S(574141)",1.3573180638172,103.8262492865,school.gif
Paper Scissors Stone Montessori Kindergarten,Kindergartens,488306,30 Jalan Pergam   S(488306),1.3436187694774,103.96142702251,school.gif
Paper Scissors Stone Montessori Kindergarten (Bedok Reservoir Branch),Kindergartens,470718,718 Bedok Reservoir Road  #01-4590 S(470718),1.33663363062984,103.925744931429,school.gif
Paya Lebar Methodist Church Covenant Kindergarten,Kindergartens,549954,5 Boundary Road   S(549954),1.35266365141096,103.875635643684,school.gif
PCF Sparkletots Preschool @ Admiralty Blk 501 (KN),Kindergartens,730501,501 Woodlands Drive 14  #01-52 S(730501),1.43292523050057,103.792007005269,school.gif
PCF Sparkletots Preschool @ Admiralty Blk 581 (DS),Kindergartens,730581,581 Woodlands Drive 16  #01-486 S(730581),1.42989029250495,103.796403908477,school.gif
PCF Sparkletots Preschool @ Admiralty Blk 687B (DS),Kindergartens,732687,687B Woodlands Drive 75  #01-47 S(732687),1.44188537579835,103.80716195226,school.gif
PCF Sparkletots Preschool @ Ang Mo Kio-Hougang Blk 632 (DS),Kindergartens,530632,632 Hougang Avenue 8 Blk 630 #01-28 S(530632),1.37056741706023,103.880591946023,school.gif
PCF Sparkletots Preschool @ Ang Mo Kio-Hougang Blk 970 (DS),Kindergartens,530970,970 Hougang Street 91  #01-152 S(530970),1.37879978868231,103.880363807334,school.gif
PCF Sparkletots Preschool @ Ayer Rajah Blk 48 (DS),Kindergartens,600048,48 Teban Gardens Road Blk 32 #01-248 S(600048),1.32049772842145,103.739967674523,school.gif
PCF Sparkletots Preschool @ Bedok Blk 30 (DS),Kindergartens,461030,30 New Upper Changi Road  #01-812 S(461030),1.32352677837467,103.9364238972,school.gif
PCF Sparkletots Preschool @ Bedok Reservoir Punggol Blk 414 (DS),Kindergartens,530414,414 Hougang Avenue 10 Blk 415 #01-1256 S(530414),1.37490432555167,103.895995988498,school.gif
PCF Sparkletots Preschool @ Bedok Reservoir Punggol Blk 475C (DS),Kindergartens,533475,475C Upper Serangoon Crescent  #01-547 S(533475),1.37521818176541,103.899995257604,school.gif
PCF Sparkletots Preschool @ Bedok Reservoir Punggol Blk 713 (DS),Kindergartens,470713,713 Bedok Reservoir Road  #01-3960 S(470713),1.33631179918593,103.922392174488,school.gif
